"country","population","life expectancy","income"
"Thailand","69200000","78.2","16900"
"Timor-Leste","1320000","73.3","1490"
"Togo","7990000","63.1","1480"
"Tonga","109000","70.7","5500"
"Trinidad and Tobago","1370000","73.4","30300"
"Tunisia","11700000","78","11600"
"Turkey","81900000","79.6","24900"
"Turkmenistan","5850000","70.5","17900"
"Tuvalu","11300","70.5","3490"
"Uganda","44300000","62.9","1820"
"Ukraine","44000000","72.3","8330"
"United Arab Emirates","9540000","76.9","68200"
"United Kingdom","66600000","81.2","40100"
"United States","327000000","79.1","54900"
"Uruguay","3470000","77.6","21300"
"Uzbekistan","32400000","70.5","6690"
"Vanuatu","282000","64.3","2900"
"Venezuela","32400000","75.9","14200"
"Vietnam","96500000","74.9","6550"
"Yemen","28900000","67.1","2430"
"Zambia","17600000","59.5","3870"
"Zimbabwe","16900000","60.2","1950"
